ioc_value,ioc_type,ti_score,ti_reputation,in_blocklist,nb_sources_flagging,ti_confidence,ti_first_seen_days_ago,ti_last_seen_days_ago,ti_trend,threat_categories,geo_country,actor_type,nb_campaigns
458,ip,50,suspicious,0,3,0.45,3460,104,increasing,,KP,cybercrime,1
535,ip,30,clean,0,0,0.71,638,270,increasing,,CN,cybercrime,0
571,ip,60,suspicious,0,3,0.83,1379,68,increasing,,CN,cybercrime,1
615,ip,58,suspicious,0,1,0.74,3326,0,increasing,,DE,cybercrime,1
619,ip,46,suspicious,0,3,0.65,2791,70,decreasing,,US,unknown,1
989,ip,45,suspicious,0,3,0.54,754,159,increasing,,DE,unknown,1
1264,ip,49,suspicious,0,3,0.74,1808,35,increasing,,CN,cybercrime,1
1341,ip,58,suspicious,0,1,0.53,600,158,stable,,US,cybercrime,1
1370,ip,40,clean,0,1,0.65,2670,272,decreasing,,NL,APT,0
1439,ip,60,suspicious,0,2,0.9,2400,60,stable,,DE,unknown,1
1535,ip,44,suspicious,0,1,0.76,415,54,stable,,IR,cybercrime,1
1649,ip,42,suspicious,0,3,0.7,2918,165,decreasing,,BR,cybercrime,1
1651,ip,30,clean,0,0,0.43,1699,237,stable,,CN,unknown,0
1713,ip,42,suspicious,0,1,0.51,197,172,stable,,DE,unknown,1
1995,ip,51,suspicious,0,3,0.5,2359,4,stable,,CN,cybercrime,1
2051,ip,40,clean,0,3,0.65,1734,483,increasing,,FR,cybercrime,0
2214,ip,48,suspicious,0,2,0.58,591,144,stable,,CN,cybercrime,1
2304,ip,39,clean,0,0,0.47,2278,521,decreasing,,KP,cybercrime,0
2310,ip,43,suspicious,0,3,0.8,156,91,decreasing,,RU,APT,1
2322,ip,44,suspicious,0,3,0.57,2172,31,decreasing,,RU,cybercrime,1
2355,ip,53,suspicious,0,1,0.79,2683,26,increasing,,RU,cybercrime,1
2549,ip,33,clean,0,2,0.47,1445,184,stable,,RU,cybercrime,0
2604,ip,42,suspicious,0,2,0.94,1139,21,increasing,,FR,unknown,1
2619,ip,56,suspicious,0,3,0.45,243,33,increasing,,DE,cybercrime,1
2838,ip,57,suspicious,0,1,0.94,2594,86,increasing,,BR,cybercrime,1
2907,ip,55,suspicious,0,3,0.68,2281,168,increasing,,US,APT,1
2942,ip,40,clean,0,3,0.8,293,157,increasing,,CN,APT,0
3023,ip,41,suspicious,0,3,0.7,1775,125,stable,,KP,APT,1
3223,ip,52,suspicious,0,2,0.91,563,96,decreasing,,BR,APT,1
3538,ip,49,suspicious,0,3,0.63,312,0,increasing,,RU,unknown,1
3701,ip,38,clean,0,0,0.83,2559,713,increasing,,FR,cybercrime,0
3970,ip,40,clean,0,2,0.55,273,281,increasing,,NL,APT,0
3971,ip,46,suspicious,0,1,0.84,507,176,increasing,,DE,cybercrime,1
4420,ip,42,suspicious,0,3,0.46,481,93,increasing,,CN,cybercrime,1
4639,ip,46,suspicious,0,1,0.6,1039,129,decreasing,,DE,unknown,1
4854,ip,42,suspicious,0,1,0.46,3219,100,stable,,NL,cybercrime,1
5011,ip,47,suspicious,0,1,0.7,3545,74,stable,,RU,cybercrime,1
5604,ip,39,clean,0,0,0.57,999,438,increasing,,RU,APT,0
5809,ip,39,clean,0,0,0.59,1741,102,increasing,,NL,APT,0
6182,ip,37,clean,0,0,0.93,1141,458,stable,,FR,APT,0
6185,ip,43,suspicious,0,1,0.69,1764,25,increasing,,FR,hacktivist,1
6877,ip,50,suspicious,0,1,0.45,584,34,stable,,DE,cybercrime,1
7355,ip,52,suspicious,0,1,0.59,1581,111,stable,,US,APT,1
7812,ip,55,suspicious,0,3,0.82,3491,89,stable,,RU,unknown,1
8083,ip,42,suspicious,0,2,0.95,934,15,increasing,,RU,cybercrime,1
8225,ip,43,suspicious,0,3,0.44,423,168,decreasing,,US,cybercrime,1
8647,ip,55,suspicious,0,2,0.81,233,156,increasing,,IR,cybercrime,1
9378,ip,49,suspicious,0,1,0.79,517,144,stable,,NL,cybercrime,1
9464,ip,48,suspicious,0,3,0.52,1848,12,increasing,,RU,hacktivist,1
9607,ip,41,suspicious,0,3,0.59,1218,94,decreasing,,CN,cybercrime,1
10341,ip,49,suspicious,0,3,0.49,2999,34,stable,,FR,cybercrime,1
10356,ip,40,clean,0,1,0.83,1202,323,increasing,,RU,cybercrime,0
10380,ip,37,clean,0,0,0.6,1808,438,stable,,FR,cybercrime,0
10828,ip,42,suspicious,0,2,0.59,1003,105,stable,,IR,cybercrime,1
10894,ip,43,suspicious,0,1,0.47,2363,66,decreasing,,RU,cybercrime,1
12020,ip,51,suspicious,0,2,0.68,2649,76,increasing,,BR,APT,1
12097,ip,60,suspicious,0,2,0.88,1046,86,stable,,CN,unknown,1
12131,ip,38,clean,0,2,0.92,1907,354,increasing,,RU,cybercrime,0
12249,ip,55,suspicious,0,2,0.81,103,155,increasing,,RU,unknown,1
12578,ip,44,suspicious,0,3,0.44,1925,150,stable,,BR,cybercrime,1
12910,ip,47,suspicious,0,2,0.54,1883,157,increasing,,FR,hacktivist,1
13245,ip,47,suspicious,0,2,0.43,1726,53,increasing,,DE,cybercrime,1
13492,ip,44,suspicious,0,1,0.87,3103,89,stable,,KP,APT,1
13617,ip,48,suspicious,0,2,0.45,3184,158,decreasing,,NL,cybercrime,1
14235,ip,40,clean,0,3,0.54,3593,560,stable,,IR,cybercrime,0
14983,ip,48,suspicious,0,1,0.73,1151,47,increasing,,RU,APT,1
14989,ip,36,clean,0,0,0.77,1228,528,stable,,NL,unknown,0
15411,ip,35,clean,0,2,0.4,109,83,decreasing,,NL,cybercrime,0
15681,ip,39,clean,0,0,0.84,74,232,stable,,RU,unknown,0
15816,ip,50,suspicious,0,2,0.84,257,111,stable,,IR,hacktivist,1
15833,ip,33,clean,0,1,0.7,1632,373,stable,,US,cybercrime,0
16176,ip,32,clean,0,1,0.91,1073,438,stable,,FR,unknown,0
16465,ip,34,clean,0,1,0.81,2554,206,stable,,CN,cybercrime,0
16776,ip,46,suspicious,0,3,0.74,1347,23,decreasing,,FR,unknown,1
16949,ip,47,suspicious,0,2,0.63,3117,174,increasing,,DE,cybercrime,1
17223,ip,55,suspicious,0,2,0.67,1567,145,stable,,CN,cybercrime,1
17543,ip,60,suspicious,0,2,0.93,3605,80,stable,,DE,cybercrime,1
17685,ip,51,suspicious,0,3,0.82,1926,93,decreasing,,RU,cybercrime,1
17893,ip,47,suspicious,0,3,0.46,1577,167,decreasing,,US,cybercrime,1
18013,ip,42,suspicious,0,1,0.66,13,29,stable,,NL,APT,1
18904,ip,58,suspicious,0,3,0.57,563,61,stable,,BR,cybercrime,1
19318,ip,35,clean,0,2,0.66,1539,381,decreasing,,RU,cybercrime,0
19696,ip,31,clean,0,1,0.59,2019,158,increasing,,NL,unknown,0
19989,ip,36,clean,0,1,0.74,1562,404,stable,,US,unknown,0
20137,ip,43,suspicious,0,1,0.85,3552,141,stable,,NL,APT,1
20178,ip,49,suspicious,0,3,0.48,850,55,stable,,IR,hacktivist,1
21408,ip,48,suspicious,0,2,0.81,936,27,stable,,NL,hacktivist,1
23621,ip,45,suspicious,0,1,0.9,3283,144,stable,,US,cybercrime,1
23650,ip,45,suspicious,0,2,0.58,2934,41,increasing,,RU,cybercrime,1
24691,ip,55,suspicious,0,3,0.89,1135,171,stable,,CN,unknown,1
26405,ip,46,suspicious,0,3,0.91,803,139,increasing,,CN,cybercrime,1
27264,ip,39,clean,0,0,0.76,1459,279,stable,,BR,cybercrime,0
27268,ip,59,suspicious,0,2,0.49,1334,151,decreasing,,DE,cybercrime,1
28499,ip,44,suspicious,0,1,0.86,1470,120,stable,,BR,cybercrime,1
29759,ip,50,suspicious,0,1,0.46,692,135,stable,,KP,cybercrime,1
30986,ip,41,suspicious,0,3,0.85,267,38,decreasing,,US,APT,1
31431,ip,45,suspicious,0,1,0.5,2977,78,stable,,IR,APT,1
31508,ip,45,suspicious,0,1,0.87,2783,53,increasing,,IR,cybercrime,1
32484,ip,53,suspicious,0,3,0.49,302,160,decreasing,,RU,cybercrime,1
32835,ip,31,clean,0,1,0.89,897,515,increasing,,KP,unknown,0
34271,ip,60,suspicious,0,4,0.72,1386,158,stable,,CN,APT,1
36876,ip,40,clean,0,2,0.88,1362,275,stable,,CN,hacktivist,0
37071,ip,43,suspicious,0,1,0.63,624,130,increasing,,RU,cybercrime,1
39265,ip,60,suspicious,0,3,0.74,1278,68,increasing,,DE,unknown,1
41306,ip,58,suspicious,0,1,0.63,2744,51,increasing,,RU,cybercrime,1
42374,ip,32,clean,0,0,0.78,1965,100,increasing,,IR,cybercrime,0
42735,ip,49,suspicious,0,3,0.88,2679,33,decreasing,,NL,cybercrime,1
45335,ip,39,clean,0,2,0.8,1498,597,decreasing,,US,hacktivist,0
45920,ip,45,suspicious,0,3,0.64,3106,130,stable,,BR,cybercrime,1
46236,ip,34,clean,0,2,0.82,1986,687,decreasing,,DE,cybercrime,0
46488,ip,58,suspicious,0,3,0.54,3558,85,stable,,US,APT,1
46622,ip,52,suspicious,0,3,0.87,2937,91,increasing,,FR,APT,1
49850,ip,47,suspicious,0,3,0.51,1129,154,stable,,US,unknown,1
50963,ip,47,suspicious,0,1,0.59,1756,47,increasing,,BR,cybercrime,1
52067,ip,51,suspicious,0,2,0.45,1193,56,increasing,,NL,unknown,1
56516,ip,47,suspicious,0,1,0.76,1068,113,decreasing,,BR,cybercrime,1
57529,ip,49,suspicious,0,2,0.67,2892,89,increasing,,NL,hacktivist,1
58406,ip,31,clean,0,2,0.86,1021,685,increasing,,US,APT,0
63533,ip,38,clean,0,1,0.59,466,475,increasing,,IR,unknown,0
72060,ip,45,suspicious,0,3,0.71,434,117,stable,,NL,APT,1
73795,ip,52,suspicious,0,1,0.51,56,13,increasing,,RU,cybercrime,1
75590,ip,50,suspicious,0,1,0.75,2251,168,stable,,DE,cybercrime,1
84618,ip,46,suspicious,0,1,0.64,224,55,stable,,CN,cybercrime,1
84780,ip,52,suspicious,0,2,0.82,1523,112,stable,,RU,hacktivist,1
85577,ip,59,suspicious,0,1,0.58,988,144,stable,,US,cybercrime,1
88366,ip,60,suspicious,0,4,0.66,1042,52,stable,,FR,cybercrime,1
89619,ip,44,suspicious,0,2,0.78,1032,155,stable,,DE,hacktivist,1
96450,ip,45,suspicious,0,2,0.79,1881,42,increasing,,KP,cybercrime,1
96673,ip,49,suspicious,0,3,0.73,1427,47,decreasing,,US,cybercrime,1
99474,ip,53,suspicious,0,1,0.66,2956,5,stable,,IR,APT,1
101732,ip,39,clean,0,0,0.54,2057,170,stable,,IR,cybercrime,0
106959,ip,39,clean,0,1,0.47,2122,729,stable,,RU,APT,0
107632,ip,60,suspicious,0,4,0.79,1527,94,stable,,US,APT,1
110376,ip,45,suspicious,0,3,0.87,3031,167,increasing,,RU,unknown,1
112461,ip,41,suspicious,0,3,0.91,1909,170,stable,,KP,cybercrime,1
114909,ip,46,suspicious,0,2,0.48,2681,145,stable,,US,APT,1
117039,ip,56,suspicious,0,2,0.7,3216,124,stable,,US,hacktivist,1
119747,ip,56,suspicious,0,3,0.62,649,54,stable,,US,cybercrime,1
121319,ip,48,suspicious,0,2,0.88,795,31,decreasing,,CN,cybercrime,1
121536,ip,58,suspicious,0,2,0.86,361,24,decreasing,,US,cybercrime,1
125510,ip,35,clean,0,2,0.67,131,106,stable,,DE,cybercrime,0
128717,ip,60,suspicious,0,2,0.44,3384,33,increasing,,DE,APT,1
135326,ip,44,suspicious,0,1,0.45,765,156,increasing,,KP,unknown,1
148034,ip,37,clean,0,2,0.79,408,106,stable,,BR,unknown,0
183090,ip,50,suspicious,0,1,0.57,1445,95,stable,,CN,APT,1
185679,ip,37,clean,0,0,0.67,2422,165,stable,,RU,APT,0
187824,ip,36,clean,0,2,0.51,1904,447,increasing,,RU,APT,0
188191,ip,47,suspicious,0,1,0.76,1357,15,stable,,DE,cybercrime,1
192714,ip,35,clean,0,0,0.52,262,149,decreasing,,BR,cybercrime,0
195059,ip,41,suspicious,0,2,0.44,3066,58,increasing,,RU,cybercrime,1
207350,ip,34,clean,0,2,0.5,1239,492,stable,,BR,cybercrime,0
208613,ip,60,suspicious,0,4,0.5,240,89,increasing,,CN,cybercrime,1
209856,ip,41,suspicious,0,3,0.91,629,99,stable,,US,cybercrime,1
224209,ip,47,suspicious,0,1,0.45,1183,129,increasing,,CN,cybercrime,1
229985,ip,38,clean,0,2,0.92,2907,351,stable,,US,unknown,0
232063,ip,50,suspicious,0,2,0.6,2817,115,stable,,RU,cybercrime,1
247698,ip,48,suspicious,0,3,0.61,3090,7,stable,,NL,cybercrime,1
248689,ip,46,suspicious,0,3,0.66,1909,46,increasing,,CN,unknown,1
254843,ip,54,suspicious,0,2,0.77,3466,32,stable,,NL,cybercrime,1
256497,ip,57,suspicious,0,2,0.92,432,71,decreasing,,BR,cybercrime,1
257471,ip,38,clean,0,1,0.47,2139,150,increasing,,FR,APT,0
270627,ip,41,suspicious,0,3,0.62,1471,116,stable,,CN,APT,1
270774,ip,49,suspicious,0,2,0.72,2369,10,stable,,IR,cybercrime,1
272613,ip,50,suspicious,0,1,0.57,1708,97,decreasing,,US,cybercrime,1
280061,ip,41,suspicious,0,3,0.46,650,134,decreasing,,CN,APT,1
286650,ip,49,suspicious,0,3,0.73,541,111,stable,,BR,cybercrime,1
291572,ip,44,suspicious,0,2,0.57,2042,56,increasing,,FR,cybercrime,1
297367,ip,60,suspicious,0,4,0.69,1148,57,decreasing,,NL,unknown,1
319893,ip,47,suspicious,0,1,0.72,977,63,stable,,US,hacktivist,1
332019,ip,41,suspicious,0,3,0.89,1476,69,decreasing,,CN,hacktivist,1
356529,ip,51,suspicious,0,2,0.9,2914,114,stable,,KP,cybercrime,1
1194,ip,68,suspicious,1,4,0.41,455,90,decreasing,Ransomware,NL,unknown,1
2780,ip,68,suspicious,1,4,0.42,192,68,stable,Phishing,RU,unknown,1
4668,ip,65,suspicious,1,2,0.63,3597,44,stable,Botnet,US,unknown,1
5998,ip,74,malicious,1,3,0.44,3313,122,increasing,Phishing,US,APT,3
7191,ip,73,malicious,1,2,0.75,1446,5,increasing,Botnet,KP,unknown,1
10272,ip,68,suspicious,1,4,0.79,3511,54,increasing,Scanner,NL,unknown,1
11214,ip,65,suspicious,1,3,0.76,3598,122,stable,Scanner,RU,unknown,1
13596,ip,63,suspicious,1,3,0.84,3353,117,increasing,Malware-C2,RU,unknown,1
14232,ip,60,suspicious,0,3,0.7,2641,109,increasing,,US,hacktivist,1
21376,ip,74,malicious,1,4,0.5,3266,18,increasing,Malware-C2,RU,unknown,1
24149,ip,80,malicious,1,5,0.81,842,34,increasing,Phishing,CN,unknown,1
28026,ip,63,suspicious,1,3,0.65,951,20,stable,Malware-C2,FR,unknown,1
28268,ip,75,malicious,1,2,0.78,1709,32,increasing,Ransomware,CN,unknown,1
40625,ip,68,suspicious,1,3,0.73,3241,31,stable,Phishing,BR,unknown,1
41816,ip,65,suspicious,1,2,0.83,2581,12,increasing,Phishing,BR,unknown,1
44569,ip,68,suspicious,1,3,0.83,3584,149,stable,Phishing,FR,unknown,1
45402,ip,69,suspicious,1,3,0.41,3563,35,decreasing,Botnet,RU,unknown,1
49720,ip,65,suspicious,1,3,0.87,2467,12,increasing,Phishing,BR,unknown,1
50142,ip,74,malicious,1,3,0.89,1587,50,decreasing,Scanner,US,unknown,1
59379,ip,74,malicious,1,4,0.84,99,136,decreasing,Phishing,NL,unknown,1
66879,ip,61,suspicious,1,3,0.42,1854,72,decreasing,Scanner,FR,unknown,1
68108,ip,70,suspicious,1,2,0.74,2852,23,decreasing,Scanner,BR,unknown,1
93981,ip,64,suspicious,1,2,0.73,719,15,increasing,Malware-C2,DE,unknown,1
151685,ip,63,suspicious,1,2,0.64,636,106,stable,Botnet,US,unknown,1
287,ip,36,clean,0,2,0.59,2653,68,increasing,,DE,unknown,0
495,ip,40,clean,0,1,0.69,2290,649,increasing,,NL,unknown,0
749,ip,32,clean,0,2,0.91,2969,587,decreasing,,KP,unknown,0
855,ip,44,suspicious,0,1,0.43,2257,147,stable,,RU,unknown,1
1615,ip,47,suspicious,0,1,0.91,3436,18,decreasing,,RU,unknown,1
9258,ip,43,suspicious,0,3,0.41,256,171,stable,,NL,unknown,1
32450,ip,32,clean,0,0,0.71,306,216,stable,,BR,unknown,0
187714,ip,33,clean,0,2,0.86,1896,433,increasing,,FR,unknown,0
211679,ip,28,clean,0,0,0.78,3134,697,stable,,US,unknown,0
239143,ip,40,clean,0,3,0.76,1977,657,stable,,RU,unknown,0
357272,ip,38,clean,0,2,0.48,2612,349,increasing,,RU,unknown,0
2779,ip,68,suspicious,1,4,0.49,2155,76,increasing,Ransomware,BR,unknown,1
5646,ip,76,malicious,1,4,0.52,1168,39,decreasing,Phishing,BR,unknown,1
7374,ip,66,suspicious,1,4,0.72,2628,96,stable,Botnet,US,unknown,1
7954,ip,66,suspicious,1,3,0.5,1602,79,increasing,Ransomware,NL,unknown,1
17586,ip,64,suspicious,1,3,0.55,70,139,stable,Phishing,BR,unknown,1
28753,ip,70,suspicious,1,4,0.6,596,116,stable,Malware-C2,CN,unknown,1
34512,ip,70,suspicious,1,4,0.41,1951,52,stable,Malware-C2,IR,unknown,1
42725,ip,65,suspicious,1,2,0.73,833,45,increasing,Botnet,RU,unknown,1
44214,ip,62,suspicious,1,2,0.9,2922,149,stable,Ransomware,DE,cybercrime,5
50038,ip,82,malicious,1,4,0.56,1265,54,increasing,Botnet,BR,unknown,1
60549,ip,68,suspicious,1,2,0.65,2498,68,stable,Botnet,RU,unknown,1
66833,ip,62,suspicious,1,3,0.76,3281,118,stable,Botnet,RU,unknown,1
67480,ip,58,suspicious,0,2,0.85,2664,75,stable,,IR,hacktivist,1
80926,ip,85,malicious,1,5,0.49,552,65,decreasing,Ransomware,CN,unknown,1
103854,ip,73,malicious,1,2,0.42,2364,168,stable,Phishing,US,unknown,1
106497,ip,84,malicious,1,4,0.65,3540,159,stable,Ransomware,CN,unknown,1
146921,ip,85,malicious,1,3,0.46,2831,137,stable,Botnet,US,unknown,1
174257,ip,74,malicious,1,4,0.55,391,2,stable,Botnet,US,unknown,1
180070,ip,60,suspicious,0,3,0.65,68,138,stable,,RU,unknown,1
186630,ip,66,suspicious,1,3,0.5,1404,136,stable,Ransomware,US,unknown,1
189630,ip,69,suspicious,1,3,0.46,835,54,stable,Scanner,NL,unknown,1
190503,ip,63,suspicious,1,2,0.63,3498,139,decreasing,Phishing,DE,unknown,1
191213,ip,58,suspicious,0,3,0.53,3627,99,stable,,IR,unknown,1
225406,ip,68,suspicious,1,3,0.45,1836,3,decreasing,Ransomware,RU,unknown,1
237810,ip,85,malicious,1,3,0.94,108,123,stable,Phishing,CN,hacktivist,1
262964,ip,52,suspicious,0,1,0.56,2648,39,stable,,RU,unknown,1
287873,ip,81,malicious,1,3,0.81,3144,138,stable,Botnet,FR,unknown,1
326493,ip,85,malicious,1,3,0.55,3197,146,increasing,Phishing,NL,unknown,1
336011,ip,78,malicious,1,3,0.72,1829,54,decreasing,Scanner,IR,unknown,1
354290,ip,63,suspicious,1,2,0.85,3347,14,stable,Phishing,FR,unknown,1
357828,ip,72,malicious,1,2,0.94,2462,120,stable,Malware-C2,BR,unknown,1
1382,ip,33,clean,0,1,0.53,3181,392,stable,,CN,unknown,0
7791,ip,29,clean,0,2,0.5,1586,673,stable,,DE,unknown,0
10748,ip,28,clean,0,0,0.76,1333,528,stable,,BR,unknown,0
12190,ip,21,clean,0,0,0.88,3552,348,stable,,US,unknown,0
16591,ip,36,clean,0,0,0.47,1738,428,stable,,US,unknown,0
18412,ip,39,clean,0,2,0.89,2330,399,stable,,NL,unknown,0
24518,ip,23,clean,0,0,0.55,1335,242,stable,,IR,unknown,0
27380,ip,30,clean,0,2,0.59,193,104,increasing,,CN,unknown,0
67937,ip,20,clean,0,2,0.66,1584,86,increasing,,BR,APT,0
90966,ip,37,clean,0,2,0.66,1131,194,decreasing,,RU,unknown,0
95813,ip,15,clean,0,1,0.89,404,131,stable,,CN,unknown,0
168881,ip,26,clean,0,1,0.45,1659,353,stable,,NL,unknown,0
317518,ip,21,clean,0,1,0.55,2500,165,stable,,RU,unknown,0
321331,ip,30,clean,0,2,0.46,519,333,increasing,,BR,unknown,0
331471,ip,24,clean,0,0,0.82,1239,553,decreasing,,IR,hacktivist,0
18,sha256,84,malicious,1,60,0.85,312,0,increasing,Ransomware,,cybercrime,2
82,sha256,78,malicious,1,56,0.69,139,60,stable,Trojan,,unknown,0
94,sha256,79,malicious,1,56,0.97,174,88,stable,Ransomware,,hacktivist,0
163,sha256,78,malicious,1,56,0.71,31,39,stable,Trojan,,cybercrime,3
587,sha256,84,malicious,1,60,0.93,223,39,increasing,Backdoor,,cybercrime,1
657,sha256,97,malicious,1,69,0.57,184,37,stable,Ransomware,,cybercrime,1
946,sha256,83,malicious,1,59,0.66,25,63,increasing,Dropper,,cybercrime,3
1168,sha256,97,malicious,1,69,0.94,115,11,increasing,Ransomware,,cybercrime,1
1315,sha256,73,malicious,1,52,0.52,248,31,stable,Trojan,,cybercrime,3
1553,sha256,88,malicious,1,63,0.64,284,49,increasing,Trojan,,cybercrime,2
3945,sha256,73,malicious,1,52,0.55,317,82,stable,Trojan,,cybercrime,2
4386,sha256,72,malicious,1,51,0.76,337,42,decreasing,Ransomware,,cybercrime,3
5119,sha256,77,malicious,1,55,0.74,314,45,decreasing,Dropper,,unknown,0
6851,sha256,75,malicious,1,54,0.82,31,51,increasing,Backdoor,,cybercrime,2
9112,sha256,78,malicious,1,56,0.5,6,40,increasing,Dropper,,cybercrime,3
9304,sha256,74,malicious,1,53,0.63,281,58,stable,Backdoor,,APT,1
10264,sha256,89,malicious,1,64,0.96,346,78,stable,Backdoor,,cybercrime,3
11355,sha256,81,malicious,1,58,0.74,297,1,increasing,Dropper,,cybercrime,3
12199,sha256,85,malicious,1,61,0.59,162,43,decreasing,Backdoor,,APT,3
16386,sha256,77,malicious,1,55,0.52,115,41,decreasing,Dropper,,cybercrime,3
18089,sha256,80,malicious,1,57,0.71,148,52,stable,Trojan,,cybercrime,3
20567,sha256,81,malicious,1,58,0.71,248,2,increasing,Trojan,,unknown,0
20945,sha256,82,malicious,1,59,0.84,201,40,stable,Ransomware,,cybercrime,3
21548,sha256,86,malicious,1,61,0.59,146,87,stable,Ransomware,,cybercrime,1
22967,sha256,77,malicious,1,55,0.83,109,54,stable,Backdoor,,cybercrime,1
23917,sha256,79,malicious,1,56,0.56,3,73,decreasing,Trojan,,APT,2
24274,sha256,79,malicious,1,56,0.69,156,0,increasing,Ransomware,,cybercrime,3
28254,sha256,79,malicious,1,56,0.6,283,33,decreasing,Backdoor,,APT,3
28353,sha256,81,malicious,1,58,0.72,346,61,increasing,Backdoor,,APT,1
28421,sha256,81,malicious,1,58,0.63,323,84,stable,Dropper,,cybercrime,1
30775,sha256,72,malicious,1,51,0.71,86,82,stable,Backdoor,,cybercrime,2
31051,sha256,70,suspicious,1,50,0.75,213,26,increasing,Backdoor,,cybercrime,1
31617,sha256,77,malicious,1,55,0.57,132,83,stable,Backdoor,,cybercrime,3
39485,sha256,84,malicious,1,60,0.91,302,9,stable,Dropper,,unknown,0
39728,sha256,62,suspicious,1,44,0.71,190,24,stable,Trojan,,cybercrime,2
39771,sha256,71,malicious,1,51,0.93,260,71,stable,Backdoor,,cybercrime,2
40015,sha256,84,malicious,1,60,0.84,105,89,decreasing,Backdoor,,unknown,0
40495,sha256,97,malicious,1,69,0.56,79,19,stable,Ransomware,,cybercrime,2
41844,sha256,91,malicious,1,65,0.86,297,10,decreasing,Backdoor,,cybercrime,1
41982,sha256,78,malicious,1,56,0.63,58,51,stable,Dropper,,cybercrime,2
43221,sha256,78,malicious,1,56,0.84,177,32,stable,Ransomware,,cybercrime,2
43632,sha256,82,malicious,1,59,0.62,176,56,increasing,Dropper,,hacktivist,0
46956,sha256,97,malicious,1,69,0.59,145,77,increasing,Trojan,,cybercrime,2
56622,sha256,93,malicious,1,66,0.88,17,53,stable,Dropper,,cybercrime,2
59030,sha256,92,malicious,1,66,0.86,225,21,decreasing,Backdoor,,cybercrime,2
60173,sha256,69,suspicious,1,49,0.62,83,7,stable,Ransomware,,unknown,0
63767,sha256,85,malicious,1,61,0.62,177,19,increasing,Trojan,,APT,1
66149,sha256,88,malicious,1,63,0.8,11,51,increasing,Backdoor,,cybercrime,2
66441,sha256,80,malicious,1,57,0.78,149,37,stable,Backdoor,,unknown,0
68066,sha256,76,malicious,1,54,0.94,76,69,stable,Trojan,,unknown,0
75431,sha256,87,malicious,1,62,0.8,121,49,decreasing,Trojan,,cybercrime,1
75811,sha256,99,malicious,1,71,0.84,312,44,stable,Ransomware,,APT,2
79265,sha256,73,malicious,1,52,0.67,171,50,increasing,Backdoor,,APT,3
88254,sha256,77,malicious,1,55,0.58,342,3,stable,Backdoor,,hacktivist,0
88758,sha256,83,malicious,1,59,0.69,74,21,stable,Trojan,,cybercrime,3
106272,sha256,73,malicious,1,52,0.64,312,45,stable,Ransomware,,APT,1
107577,sha256,84,malicious,1,60,0.9,219,48,stable,Dropper,,unknown,0
107980,sha256,83,malicious,1,59,0.65,158,65,increasing,Backdoor,,cybercrime,3
108332,sha256,81,malicious,1,58,0.52,285,47,stable,Trojan,,unknown,0
113980,sha256,82,malicious,1,59,0.92,347,68,increasing,Trojan,,APT,1
123953,sha256,88,malicious,1,63,0.62,55,89,increasing,Dropper,,cybercrime,1
124734,sha256,84,malicious,1,60,0.61,303,80,stable,Ransomware,,unknown,0
130431,sha256,95,malicious,1,68,0.63,20,49,stable,Dropper,,hacktivist,0
132830,sha256,87,malicious,1,62,0.58,330,27,increasing,Trojan,,APT,2
135614,sha256,80,malicious,1,57,0.67,141,24,stable,Ransomware,,cybercrime,3
136581,sha256,91,malicious,1,65,0.74,218,88,increasing,Ransomware,,cybercrime,1
16,sha256,48,suspicious,1,34,0.84,178,75,stable,Trojan,,cybercrime,0
55,sha256,53,suspicious,1,38,0.95,29,37,stable,Dropper,,APT,0
113,sha256,39,clean,1,28,0.7,151,35,stable,Dropper,,cybercrime,0
175,sha256,55,suspicious,1,39,0.77,5,62,stable,Backdoor,,unknown,0
181,sha256,57,suspicious,1,41,0.64,302,60,stable,Trojan,,cybercrime,0
559,sha256,62,suspicious,1,44,0.64,60,51,decreasing,Backdoor,,cybercrime,3
569,sha256,54,suspicious,1,38,0.86,124,84,increasing,Trojan,,cybercrime,0
1321,sha256,56,suspicious,1,40,0.53,338,36,stable,Backdoor,,hacktivist,0
1652,sha256,45,suspicious,1,32,0.77,290,49,increasing,Backdoor,,cybercrime,0
2180,sha256,34,clean,1,24,0.97,160,90,increasing,Ransomware,,unknown,0
2574,sha256,37,clean,1,26,0.92,355,197,increasing,Trojan,,cybercrime,0
3714,sha256,40,clean,1,28,0.8,14,42,stable,Backdoor,,hacktivist,0
6129,sha256,56,suspicious,1,40,0.9,28,80,stable,Backdoor,,cybercrime,0
12209,sha256,46,suspicious,1,33,0.54,326,88,increasing,Ransomware,,cybercrime,0
12854,sha256,58,suspicious,1,41,0.66,192,53,stable,Trojan,,APT,0
23668,sha256,34,clean,1,24,0.56,110,320,stable,Ransomware,,unknown,0
32504,sha256,33,clean,1,23,0.86,91,71,stable,Backdoor,,cybercrime,0
44550,sha256,47,suspicious,1,33,0.52,261,66,increasing,Trojan,,hacktivist,0
46317,sha256,42,suspicious,1,30,0.74,354,47,stable,Backdoor,,APT,0
49204,sha256,48,suspicious,1,34,0.53,140,11,increasing,Dropper,,cybercrime,0
49731,sha256,45,suspicious,1,32,0.77,271,54,stable,Backdoor,,unknown,0
55122,sha256,44,suspicious,1,31,0.97,44,60,stable,Ransomware,,unknown,0
